[INFO 3:20:51 PM] miguelsolorio.symbols activated
[INFO 3:20:51 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 3:20:51 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 3:20:51 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 3:20:51 PM] 🤖 symbols.hidesLogoIcons changed, updating to undefined
[INFO 3:20:51 PM] 🤖 symbols.rootFolders.associations changed, updating to undefined
[INFO 3:20:51 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 3:20:51 PM] 🤖 symbols.subfolder.file.associations changed, updating to undefined
[INFO 3:20:57 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 3:20:57 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 3:20:57 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 3:20:57 PM] 🤖 symbols.hidesLogoIcons changed, updating to undefined
[INFO 3:20:57 PM] 🤖 symbols.rootFolders.associations changed, updating to undefined
[INFO 3:20:57 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 3:20:57 PM] 🤖 symbols.subfolder.file.associations changed, updating to undefined
