[INFO 5:27:01 PM] miguelsolorio.symbols activated
[INFO 5:27:01 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 5:27:01 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 5:27:01 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 5:27:01 PM] 🤖 symbols.hidesLogoIcons changed, updating to undefined
[INFO 5:27:01 PM] 🤖 symbols.rootFolders.associations changed, updating to undefined
[INFO 5:27:01 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 5:27:01 PM] 🤖 symbols.subfolder.file.associations changed, updating to undefined
[INFO 5:27:06 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 5:27:06 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 5:27:06 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 5:27:06 PM] 🤖 symbols.hidesLogoIcons changed, updating to undefined
[INFO 5:27:06 PM] 🤖 symbols.rootFolders.associations changed, updating to undefined
[INFO 5:27:06 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 5:27:06 PM] 🤖 symbols.subfolder.file.associations changed, updating to undefined
[INFO 5:27:12 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 5:27:12 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 5:27:12 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 5:27:12 PM] 🤖 symbols.hidesLogoIcons changed, updating to undefined
[INFO 5:27:12 PM] 🤖 symbols.rootFolders.associations changed, updating to undefined
[INFO 5:27:12 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 5:27:12 PM] 🤖 symbols.subfolder.file.associations changed, updating to undefined
[INFO 5:27:26 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 5:27:26 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 5:27:26 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 5:27:26 PM] 🤖 symbols.hidesLogoIcons changed, updating to undefined
[INFO 5:27:26 PM] 🤖 symbols.rootFolders.associations changed, updating to undefined
[INFO 5:27:26 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 5:27:26 PM] 🤖 symbols.subfolder.file.associations changed, updating to undefined
[INFO 5:27:37 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 5:27:37 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 5:27:37 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 5:27:37 PM] 🤖 symbols.hidesLogoIcons changed, updating to undefined
[INFO 5:27:37 PM] 🤖 symbols.rootFolders.associations changed, updating to undefined
[INFO 5:27:37 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 5:27:37 PM] 🤖 symbols.subfolder.file.associations changed, updating to undefined
[INFO 5:28:06 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 5:28:06 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 5:28:06 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 5:28:06 PM] 🤖 symbols.hidesLogoIcons changed, updating to undefined
[INFO 5:28:06 PM] 🤖 symbols.rootFolders.associations changed, updating to undefined
[INFO 5:28:06 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 5:28:06 PM] 🤖 symbols.subfolder.file.associations changed, updating to undefined
