[INFO 9:10:17 PM] miguelsolorio.symbols activated
[INFO 9:10:17 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 9:10:17 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 9:10:17 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 9:10:17 PM] 🤖 symbols.hidesLogoIcons changed, updating to undefined
[INFO 9:10:17 PM] 🤖 symbols.rootFolders.associations changed, updating to undefined
[INFO 9:10:17 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 9:10:17 PM] 🤖 symbols.subfolder.file.associations changed, updating to undefined
[INFO 9:10:48 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 9:10:48 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 9:10:48 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 9:10:48 PM] 🤖 symbols.hidesLogoIcons changed, updating to undefined
[INFO 9:10:48 PM] 🤖 symbols.rootFolders.associations changed, updating to undefined
[INFO 9:10:48 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 9:10:48 PM] 🤖 symbols.subfolder.file.associations changed, updating to undefined
[INFO 9:11:02 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 9:11:02 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 9:11:02 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 9:11:02 PM] 🤖 symbols.hidesLogoIcons changed, updating to undefined
[INFO 9:11:02 PM] 🤖 symbols.rootFolders.associations changed, updating to undefined
[INFO 9:11:02 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 9:11:02 PM] 🤖 symbols.subfolder.file.associations changed, updating to undefined
[INFO 9:11:13 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 9:11:13 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 9:11:13 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 9:11:13 PM] 🤖 symbols.hidesLogoIcons changed, updating to undefined
[INFO 9:11:13 PM] 🤖 symbols.rootFolders.associations changed, updating to undefined
[INFO 9:11:13 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 9:11:13 PM] 🤖 symbols.subfolder.file.associations changed, updating to undefined
[INFO 9:12:10 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 9:12:10 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 9:12:10 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 9:12:10 PM] 🤖 symbols.hidesLogoIcons changed, updating to undefined
[INFO 9:12:10 PM] 🤖 symbols.rootFolders.associations changed, updating to undefined
[INFO 9:12:10 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 9:12:10 PM] 🤖 symbols.subfolder.file.associations changed, updating to undefined
[INFO 9:12:22 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 9:12:22 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 9:12:22 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 9:12:22 PM] 🤖 symbols.hidesLogoIcons changed, updating to undefined
[INFO 9:12:22 PM] 🤖 symbols.rootFolders.associations changed, updating to undefined
[INFO 9:12:22 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 9:12:22 PM] 🤖 symbols.subfolder.file.associations changed, updating to undefined
[INFO 9:12:32 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 9:12:32 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 9:12:32 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 9:12:32 PM] 🤖 symbols.hidesLogoIcons changed, updating to undefined
[INFO 9:12:32 PM] 🤖 symbols.rootFolders.associations changed, updating to undefined
[INFO 9:12:32 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 9:12:32 PM] 🤖 symbols.subfolder.file.associations changed, updating to undefined
