[INFO 3:03:08 PM] miguelsolorio.symbols activated
[INFO 3:03:09 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 3:03:09 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 3:03:09 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 3:03:09 PM] 🤖 symbols.hidesLogoIcons changed, updating to undefined
[INFO 3:03:09 PM] 🤖 symbols.rootFolders.associations changed, updating to undefined
[INFO 3:03:09 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 3:03:09 PM] 🤖 symbols.subfolder.file.associations changed, updating to undefined
[INFO 3:03:13 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 3:03:13 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 3:03:13 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 3:03:13 PM] 🤖 symbols.hidesLogoIcons changed, updating to undefined
[INFO 3:03:13 PM] 🤖 symbols.rootFolders.associations changed, updating to undefined
[INFO 3:03:13 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 3:03:13 PM] 🤖 symbols.subfolder.file.associations changed, updating to undefined
[INFO 3:03:13 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 3:03:13 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 3:03:13 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 3:03:13 PM] 🤖 symbols.hidesLogoIcons changed, updating to undefined
[INFO 3:03:13 PM] 🤖 symbols.rootFolders.associations changed, updating to undefined
[INFO 3:03:13 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 3:03:13 PM] 🤖 symbols.subfolder.file.associations changed, updating to undefined
[INFO 3:03:41 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 3:03:41 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 3:03:41 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 3:03:41 PM] 🤖 symbols.hidesLogoIcons changed, updating to undefined
[INFO 3:03:41 PM] 🤖 symbols.rootFolders.associations changed, updating to undefined
[INFO 3:03:41 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 3:03:41 PM] 🤖 symbols.subfolder.file.associations changed, updating to undefined
[INFO 3:03:55 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 3:03:55 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 3:03:55 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 3:03:55 PM] 🤖 symbols.hidesLogoIcons changed, updating to undefined
[INFO 3:03:55 PM] 🤖 symbols.rootFolders.associations changed, updating to undefined
[INFO 3:03:55 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 3:03:55 PM] 🤖 symbols.subfolder.file.associations changed, updating to undefined
[INFO 3:04:06 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 3:04:06 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 3:04:06 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 3:04:06 PM] 🤖 symbols.hidesLogoIcons changed, updating to undefined
[INFO 3:04:06 PM] 🤖 symbols.rootFolders.associations changed, updating to undefined
[INFO 3:04:06 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 3:04:06 PM] 🤖 symbols.subfolder.file.associations changed, updating to undefined
[INFO 3:20:00 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 3:20:00 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 3:20:00 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 3:20:00 PM] 🤖 symbols.hidesLogoIcons changed, updating to undefined
[INFO 3:20:00 PM] 🤖 symbols.rootFolders.associations changed, updating to undefined
[INFO 3:20:00 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 3:20:00 PM] 🤖 symbols.subfolder.file.associations changed, updating to undefined
